polymerase,full_name,catalog,buffer,buffer_x,mg_mm,monovalent_mm,dntp_each_um,primer_um,enzyme_units_per_50ul,enzyme_stock_u_per_ul,initial_denature_c,initial_denature_s,denature_c,denature_s,anneal_offset_c,anneal_offset_min_primer_nt,anneal_min_c,anneal_s,two_step_ta_c,extend_c,extend_s_per_kb,extend_s_per_kb_simple,long_amplicon_bp,extend_s_per_kb_long,extend_min_s,final_extend_c,final_extend_s,hold_c,cycles,notes,source
Q5,Q5 High-Fidelity DNA Polymerase,NEB M0491,5X Q5 Reaction Buffer,5,2.0,50,200,0.5,1.0,2,98,30,98,10,3,0,50,30,72,72,30,10,6000,50,0,72,120,4,30,monovalent salt not published - 50 mM assumed; enzyme stock derived from 0.5 uL = 0.02 U/uL in 50 uL,NEB protocol PCR Using Q5 High-Fidelity DNA Polymerase (M0491) https://www.neb.com/en-us/protocols/2013/12/13/pcr-using-q5-high-fidelity-dna-polymerase-m0491
Taq,Taq DNA Polymerase with Standard Taq Buffer,NEB M0273,10X Standard Taq Reaction Buffer,10,1.5,50,200,0.2,1.25,5,95,30,95,30,-5,0,45,60,65,68,60,60,0,60,45,68,300,4,30,1X buffer is 10 mM Tris-HCl 50 mM KCl 1.5 mM MgCl2 (NEB E5000 manual); the datasheet gives no fixed annealing rule - Tm - 5 is where it says to start a gradient,NEB PCR with Taq DNA Polymerase (M0273) https://dx.doi.org/10.17504/protocols.io.ch7t9m; NEB Taq PCR Kit E5000 instruction manual
Phusion,Phusion High-Fidelity DNA Polymerase,NEB M0530,5X Phusion HF Buffer,5,1.5,50,200,0.5,1.0,2,98,30,98,10,3,21,45,30,72,72,30,15,0,30,0,72,600,4,30,monovalent salt not published - 50 mM assumed,NEB Phusion High Fidelity PCR Kit E0553 instruction manual v4.0 https://www.neb.com/en/-/media/nebus/files/manuals/manuale0553.pdf
